KL divergence,Top5 events recall,Top10 events recall,R2 of Frameshift ratio,Coll_I_Top5,Coll_I_Top10,KLD_IDL,Top5_IDL,Top10_IDL,W1-distance_IDL,delratio_r2,Kendall_tau_IDL,celltype,set
2.174936083493144,3.0158870255957635,5.601059135039717,0.8090896620421691,3.1694616063548104,5.868490732568403,0.2737370431423187,3.4377758164165932,6.940864960282436,0.08566868212851275,0.611184736312763,0.6677503948104173,iPSC,featv3
1.4624472565337396,3.098852603706973,6.565754633715799,0.7545145095068441,3.345984112974404,6.869373345101501,0.18177998065948486,3.6681376875551632,7.7802294792586055,0.07356910248283942,0.6571523843839284,0.7576290574784135,CHO,featv3
1.5097846279655636,3.1632833186231246,6.28684907325684,0.8375500835518028,3.3053839364518978,6.571932921447485,0.22316940128803253,3.6045895851721093,7.879964695498676,0.07684500464180484,0.6491191315517945,0.7409383012930003,mESC,featv3
1.3510279799338893,3.1288614298323036,6.084730803177405,0.8192040830336091,3.259488084730803,6.3777581641659316,0.18026678264141083,3.53486319505737,7.444836716681377,0.06605394917152703,0.7236988322244294,0.7538932186928943,HAP1,featv3
1.3656900598744008,3.1315092674315976,6.339805825242719,0.8187839798106837,3.1941747572815533,6.5057369814651365,0.18191617727279663,3.5736981465136806,7.5375110326566634,0.06462089827160761,0.7284204599153661,0.7529389209550205,K562,featv3
2.073129157733833,3.025595763459841,5.603706972639012,0.8353426029540154,3.1624007060900263,5.872903795233892,0.2552279233932495,3.443071491615181,6.9920564872021185,0.07820118083233962,0.7236153854084584,0.6774802838034962,iPSC,featv4 interaction
1.2866056305796092,3.095322153574581,6.563106796116505,0.776844288637012,3.326566637246249,6.885260370697264,0.16622504591941833,3.651368049426302,7.784642541924096,0.06545935721183663,0.7104626066420847,0.7719095019720598,CHO,featv4 interaction
1.4690267896347096,3.1553398058252426,6.285083848190644,0.8484339102341639,3.3097969991173875,6.555163283318623,0.20878519117832184,3.5913503971756398,7.872903795233892,0.07216589769810024,0.7007838500097774,0.7510848905532593,mESC,featv4 interaction
1.3067601799228397,3.120035304501324,6.0767872903795235,0.8339584844438444,3.2550750220653133,6.386584289496911,0.16663266718387604,3.5225066195939982,7.470432480141218,0.06197684744537497,0.7894896535557108,0.7654253274168346,HAP1,featv4 interaction
1.287804503306181,3.1262135922330097,6.326566637246249,0.8312544638207338,3.1906443071491615,6.490732568402471,0.16588103771209717,3.584289496910856,7.556928508384819,0.0600821811336881,0.7966999593710943,0.7713168584128889,K562,featv4 interaction
2.214002959042235,2.9920564872021185,5.53486319505737,0.830029316728731,3.157105030891439,5.848190644307149,0.2628434896469116,3.4298323036187113,6.962930273609885,0.07963238219623037,0.7339508416443649,0.6678005074244819,iPSC,featv4 identity
1.3340250476997506,3.020300088261253,6.551632833186232,0.7730592898402531,3.3106796116504853,6.87819947043248,0.17392610013484955,3.646954986760812,7.794351279788173,0.06674697583940527,0.6992661897239462,0.7597359843617956,CHO,featv4 identity
1.5774681917987665,3.1120917917034423,6.1932921447484555,0.8396142848989936,3.2859664607237424,6.48278905560459,0.22165779769420624,3.566637246248897,7.8490732568402475,0.07545453977786128,0.7171997542628296,0.7404244459912671,mESC,featv4 identity
1.3349439397861973,3.0997352162400706,6.0556045895851724,0.8294634083119995,3.23036187113857,6.350397175639894,0.17803168296813965,3.4836716681376876,7.435127978817299,0.06208572420057167,0.783787107969549,0.7556019385577596,HAP1,featv4 identity
1.4012478008695335,3.1067961165048543,6.322153574580759,0.8246402167458935,3.174757281553398,6.488084730803178,0.18109561502933502,3.5684024713150926,7.516328331862312,0.06413987495496554,0.810105138436574,0.7548635548130972,K562,featv4 identity
